Contents,p_content,old_hastag,Hashtag
"Giới thiệu cho các bác dùng VSCode draw.io extension giúp sửa file draw.io offline, đồng thời cho phép collaboratively edit (khó dịch từ này quá 😅) luôn.
https://marketplace.visualstudio.com/items?itemName=hediet.vscode-drawio
#vscode #tips","Giới thiệu cho các bác dùng VSCode draw.io extension giúp sửa file draw.io offline, đồng thời cho phép collaboratively edit (khó dịch từ này quá ) luôn. https://marketplace.visualstudio.com/items?itemName=hediet.vscode-drawio",#vscode	#tips,
"🥇MLOps MARATHON 2023 - SÂN CHƠI MLOPS ĐẦU TIÊN TẠI VN VỚI GIÁ TRỊ GIẢI THƯỞNG LÊN ĐẾN 9-CHỮ-SỐ 🥇
💯Tham gia Challenge, các thí sinh có cơ hội trình diễn kỹ năng lập trình của mình, xử lý tình huống bám sát theo các vấn đề hay gặp của doanh nghiệp khi triển khai một dự án AI ra thị trường. Làm việc cùng đồng đội trong những bài thi chắc chắn sẽ đem lại cho bạn những khoảnh khắc hồi hộp nhưng không kém phần hào hứng! Các thí sinh, đây chính là lúc để nhiệt huyết của bạn trỗi dậy!
💰Không chỉ vậy, đang chờ bạn ở vạch đích Challenge là những phần quà vô cùng hấp dẫn với giải nhất trị giá 100 TRIỆU ĐỒNG!
🤟Chúc tất cả các thí sinh dự thi có thể bình tĩnh, tự tin, chiến thắng  Đặt lịch hẹn, chuẩn bị một tâm hồn thật đẹp, tham gia đúng giờ và đi đến cuối cùng để rinh về cho mình những phần quà tuyệt vời nhất!
✨ MLOps Marathon sẽ tổ chức sự kiện offline tại Hà Nội vào tháng 5 này
📆 Thời gian: Từ 9h30 đến 12h, ngày 12/05/2023
📍 Địa điểm: F-Ville 2, FPT Software, Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, Hà Nội
👉 Đừng bỏ lỡ cơ hội tuyệt vời này để tìm hiểu về MLOps và kết nối với cộng đồng công nghệ đầy nhiệt huyết. Đăng ký tham gia ngay tại đường link sau: https://g2.by/Cq4J
___________________________________________________
Thông tin chi tiết tại: https://mlops.vn/marathon
Cập nhật sự kiện tại:
🌐MLOps VN Fanpage | https://www.facebook.com/MLOpsVN/
🌐MLOps VN Group | https://www.facebook.com/groups/mlopsvn
🌐MLOps VN Linkedin | https://www.linkedin.com/company/mlopsvn/
🌐MLOps VN Discord |  https://discord.gg/JNbQpba9Ae
🌐MLOps VN Youtube | https://www.youtube.com/@mlopsvn","MLOps MARATHON 2023 - SÂN CHƠI MLOPS ĐẦU TIÊN TẠI VN VỚI GIÁ TRỊ GIẢI THƯỞNG LÊN ĐẾN 9-CHỮ-SỐ Tham gia Challenge, các thí sinh có cơ hội trình diễn kỹ năng lập trình của mình, xử lý tình huống bám sát theo các vấn đề hay gặp của doanh nghiệp khi triển khai một dự án AI ra thị trường. Làm việc cùng đồng đội trong những bài thi chắc chắn sẽ đem lại cho bạn những khoảnh khắc hồi hộp nhưng không kém phần hào hứng! Các thí sinh, đây chính là lúc để nhiệt huyết của bạn trỗi dậy! Không chỉ vậy, đang chờ bạn ở vạch đích Challenge là những phần quà vô cùng hấp dẫn với giải nhất trị giá 100 TRIỆU ĐỒNG! Chúc tất cả các thí sinh dự thi có thể bình tĩnh, tự tin, chiến thắng Đặt lịch hẹn, chuẩn bị một tâm hồn thật đẹp, tham gia đúng giờ và đi đến cuối cùng để rinh về cho mình những phần quà tuyệt vời nhất! MLOps Marathon sẽ tổ chức sự kiện offline tại Hà Nội vào tháng 5 này Thời gian: Từ 9h30 đến 12h, ngày 12/05/2023 Địa điểm: F-Ville 2, FPT Software, Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, Hà Nội Đừng bỏ lỡ cơ hội tuyệt vời này để tìm hiểu về MLOps và kết nối với cộng đồng công nghệ đầy nhiệt huyết. Đăng ký tham gia ngay tại đường link sau: https://g2.by/Cq4J ___________________________________________________ Thông tin chi tiết tại: https://mlops.vn/marathon Cập nhật sự kiện tại: MLOps VN Fanpage | https://www.facebook.com/MLOpsVN/ MLOps VN Group | https://www.facebook.com/groups/mlopsvn MLOps VN Linkedin | https://www.linkedin.com/company/mlopsvn/ MLOps VN Discord | https://discord.gg/JNbQpba9Ae MLOps VN Youtube | https://www.youtube.com/@mlopsvn",,
"📢""HOT NEWS"": SỰ KIỆN MLOPS MARATHON LAUNCHING HÉ LỘ THÔNG TIN VỀ DIỄN GIẢ VÔ CÙNG ẤN TƯỢNG!🤖
👉 Tham gia MLOps Marathon launching event tại: https://g2.by/Cq4J
Chuỗi sự kiện MLOPS MARATHON LAUNCHING sắp diễn ra và chúng tôi vô cùng phấn khích khi được giới thiệu với mọi người về một trong những diễn giả đặc biệt của sự kiện - anh Nguyễn Trọng Dũng, AI Lab Manager, AI Center, FPT Software
Sau khi tốt nghiệp Đại học Bách khoa Hà Nội, anh Trọng Dũng tiếp tục học và nghiên cứu ở bậc Tiến sĩ tại Đại học John Hopkins, Mỹ với chuyên ngành Kỹ thuật Điện và Máy tính. Trở lại Việt Nam, anh đã làm việc tại rất nhiều công ty uy tín như Vantix/VinGroup, Axon Enterprise, Fossil Group hay Misfit Wearables.
Với hiểu biết sâu rộng về AI và Machine Learning, anh Dũng sẽ giúp các bạn khai thác tiềm năng AI của bản thân với một tầm nhìn mới!
Đừng quên đăng ký tham dự sự kiện để không bỏ lỡ cơ hội gặp gỡ và trò chuyện với anh Dũng và những diễn giả tuyệt vời khác nhé! 🎉
✨ MLOps Marathon sẽ tổ chức sự kiện offline tại Hà Nội vào tháng 5 này
📆 Thời gian: Từ 9h30 đến 12h, ngày 12/05/2023
📍 Địa điểm: F-Ville 2, FPT Software, Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, Hà Nội
👉 Đừng bỏ lỡ cơ hội tuyệt vời này để tìm hiểu về MLOps và kết nối với cộng đồng công nghệ đầy nhiệt huyết. Đăng ký tham gia ngay tại đường link sau: https://g2.by/Cq4J
___________________________________________________
👉 Thông tin chi tiết tại: https://mlops.vn/marathon
📌 Cập nhật sự kiện tại:
🌐 MLOps VN Fanpage | https://www.facebook.com/MLOpsVN/
🌐 MLOps VN Group | https://www.facebook.com/groups/mlopsvn
🌐 MLOps VN Linkedin | https://www.linkedin.com/company/mlopsvn/
🌐 MLOps VN Discord |  https://discord.gg/JNbQpba9Ae
🌐 MLOps VN Youtube | https://www.youtube.com/@mlopsvn","""HOT NEWS"": SỰ KIỆN MLOPS MARATHON LAUNCHING HÉ LỘ THÔNG TIN VỀ DIỄN GIẢ VÔ CÙNG ẤN TƯỢNG! Tham gia MLOps Marathon launching event tại: https://g2.by/Cq4J Chuỗi sự kiện MLOPS MARATHON LAUNCHING sắp diễn ra và chúng tôi vô cùng phấn khích khi được giới thiệu với mọi người về một trong những diễn giả đặc biệt của sự kiện - anh Nguyễn Trọng Dũng, AI Lab Manager, AI Center, FPT Software Sau khi tốt nghiệp Đại học Bách khoa Hà Nội, anh Trọng Dũng tiếp tục học và nghiên cứu ở bậc Tiến sĩ tại Đại học John Hopkins, Mỹ với chuyên ngành Kỹ thuật Điện và Máy tính. Trở lại Việt Nam, anh đã làm việc tại rất nhiều công ty uy tín như Vantix/VinGroup, Axon Enterprise, Fossil Group hay Misfit Wearables. Với hiểu biết sâu rộng về AI và Machine Learning, anh Dũng sẽ giúp các bạn khai thác tiềm năng AI của bản thân với một tầm nhìn mới! Đừng quên đăng ký tham dự sự kiện để không bỏ lỡ cơ hội gặp gỡ và trò chuyện với anh Dũng và những diễn giả tuyệt vời khác nhé! MLOps Marathon sẽ tổ chức sự kiện offline tại Hà Nội vào tháng 5 này Thời gian: Từ 9h30 đến 12h, ngày 12/05/2023 Địa điểm: F-Ville 2, FPT Software, Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, Hà Nội Đừng bỏ lỡ cơ hội tuyệt vời này để tìm hiểu về MLOps và kết nối với cộng đồng công nghệ đầy nhiệt huyết. Đăng ký tham gia ngay tại đường link sau: https://g2.by/Cq4J ___________________________________________________ Thông tin chi tiết tại: https://mlops.vn/marathon Cập nhật sự kiện tại: MLOps VN Fanpage | https://www.facebook.com/MLOpsVN/ MLOps VN Group | https://www.facebook.com/groups/mlopsvn MLOps VN Linkedin | https://www.linkedin.com/company/mlopsvn/ MLOps VN Discord | https://discord.gg/JNbQpba9Ae MLOps VN Youtube | https://www.youtube.com/@mlopsvn",,
"Tọa đàm khác tổ chức bởi tạp chí Tia Sáng vào chủ nhật tới (7/5) với diễn giả là GS. Nguyễn Tiến Dũng (ĐH Toulouse), đồng sáng lập Torus AI cho anh em nào quan tâm 😁.
Nội dung chính:
AI sẽ tạo ra các thay đổi như thế nào đến kinh tế xã hội?
Việt Nam có thể đầu tư cho AI như thế nào với nguồn lực hiện nay?
Nguy cơ tụt hậu nếu không đầu tư cho hệ sinh thái AI?
Các công ty SME có thể ưu tiên xu hướng nào trong nghiên cứu và phát triển AI trong bối cảnh các big tech có quá nhiều lợi thế?
Ngoài ra, GS. Dũng cũng sẽ trả lời các câu hỏi liên quan khác về việc phát triển các ứng dụng AI xử lý tự động các thông tin, tín hiệu và hình ảnh trong nhiều lĩnh vực.
#seminar #offline","Tọa đàm khác tổ chức bởi tạp chí Tia Sáng vào chủ nhật tới (7/5) với diễn giả là GS. Nguyễn Tiến Dũng (ĐH Toulouse), đồng sáng lập Torus AI cho anh em nào quan tâm . Nội dung chính: AI sẽ tạo ra các thay đổi như thế nào đến kinh tế xã hội? Việt Nam có thể đầu tư cho AI như thế nào với nguồn lực hiện nay? Nguy cơ tụt hậu nếu không đầu tư cho hệ sinh thái AI? Các công ty SME có thể ưu tiên xu hướng nào trong nghiên cứu và phát triển AI trong bối cảnh các big tech có quá nhiều lợi thế? Ngoài ra, GS. Dũng cũng sẽ trả lời các câu hỏi liên quan khác về việc phát triển các ứng dụng AI xử lý tự động các thông tin, tín hiệu và hình ảnh trong nhiều lĩnh vực.",#seminar	#offline,
"MOJO ra mắt Inference Engine giúp giảm latency và giảm cost cho các model có sẵn chỉ với một vài câu lệnh (https://docs.modular.com/engine/python/python-demo.html), và MOJO language với syntax tương tự Python nhưng performance lại giống C++ và Rust (https://docs.modular.com/mojo/programming-manual.html), cơ mà hiện tại chưa cài được ở local mà mới chỉ có thể Request for Early Program để dùng trên cloud :v chắc phải gọi vốn xong cái đã mới release bản cài local cho chắc. Ae nào dùng thử chưa nhỉ?
#mojo #rust","MOJO ra mắt Inference Engine giúp giảm latency và giảm cost cho các model có sẵn chỉ với một vài câu lệnh (https://docs.modular.com/engine/python/python-demo.html), và MOJO language với syntax tương tự Python nhưng performance lại giống C++ và Rust (https://docs.modular.com/mojo/programming-manual.html), cơ mà hiện tại chưa cài được ở local mà mới chỉ có thể Request for Early Program để dùng trên cloud :v chắc phải gọi vốn xong cái đã mới release bản cài local cho chắc. Ae nào dùng thử chưa nhỉ?",#mojo	#rust,
"Scalable Distributed Systems - Final

Hôm nay mình đi ăn trưa với sếp, sếp kể chuyện đang phỏng vấn vài bạn muốn nhảy từ vị trí làm ML models vào team ML Platform của sếp, nhưng các kĩ năng của các bạn ấy chưa phù hợp lắm. Sếp nhấn mạnh ngoài các backend coding skills như software architecture, concurrency, thì vị trí này trong team mình đòi hỏi phải hiểu sâu về Kubernetes (k8s).

Các phần trong series Scalable Distributed Systems mình viết không nói về Kubernetes, nhưng khá đầy đủ các kiến thức nền tảng về scaling distributed systems, giúp các bạn dễ tiếp cận hơn với lý do đằng sau các design của k8s, từ đó các bạn có thể hiểu rất sâu về nó, ví dụ:
- 1 k8s deployment có thể quản lý rất nhiều replicas, hay chính là 1 trong 2 nguyên tắc scaling cơ bản nhất
- 1 k8s service đóng vai trò là 1 Load balancer đơn giản, giúp cho việc chia traffic tới các replicas rất tiện lợi

Trong team hiện tại, mình làm việc với MySQL, Redis và etcd là chủ yếu. Hiếm khi nào mình cần phải nghĩ tới việc shard data để scale systems, nhưng việc dùng read replicas là rất phổ biến, mặc định khi team data tạo database là tạo luôn 2 read replicas và 1 write replica. Phần cuối này trong series sẽ giúp các bạn hiểu về cách scaling relational databases bằng read replicas và partitioning data, cũng như scaling non-relational databases.

Trong việc coding hàng ngày, mình sử dụng distributed transactions thường xuyên, cho cả relational và non-relational databases, nhưng không cần implement nó, vì các databases đã cung cấp sẵn functions rồi. Trong phần cuối này, mình cũng sẽ nói về distributed transactions, 2 loại consistency quan trọng nhất trong database là eventual consistency, strong consistency, cách tune consistency để cân bằng các trade-offs, và cách xử lý conflicts của các concurrent writes.

Ngoài ra, trong quá trình code, concurrency programming skills được dùng rất nhiều. Deadlock giờ các lib hỗ trợ việc phát hiện hết rồi nên là không cần nghĩ nhiều lắm, nhưng trong các test cases ở các projects mình làm vẫn phải có deadlock tests, do đó cần phải hiểu nó và hiểu hệ thống thì mới design được các test cases đó. Series này mình không nói về concurrency nhiều, vì các bạn có thể dễ dàng tìm thấy trên internet. Tuy nhiên, trong bài cuối cùng của series, mình có chia sẻ các câu hỏi interview trong thực tế mà mình gặp, liên quan tới concurrency và databases để các bạn luyện tập các kiến thức học được từ series.

Cuối cùng, cảm ơn cả nhà đã ủng hộ series Scalable Distributed Systems. Hy vọng các kiến thức trong series có thể hỗ trợ được một chút cho công việc của các bạn, và có thể là cho cuộc thi MLOps Marathon sắp tới của team MLOpsVN. MLOps Marathon một cuộc thi đòi hỏi cả kĩ năng phát triển ML models và các kĩ năng trong distributed systems, thích hợp với các bạn dù mới hay đã có kinh nghiệm vài năm trong cái ngành AI/ML này.

* Link phần cuối: https://aiengineer.net/ml-skills/scalable-distributed-systems/scalable-databases
* Ảnh minh họa: Hủ tiếu khô ở Cao Lãnh, Đồng Tháp","Scalable Distributed Systems - Final Hôm nay mình đi ăn trưa với sếp, sếp kể chuyện đang phỏng vấn vài bạn muốn nhảy từ vị trí làm ML models vào team ML Platform của sếp, nhưng các kĩ năng của các bạn ấy chưa phù hợp lắm. Sếp nhấn mạnh ngoài các backend coding skills như software architecture, concurrency, thì vị trí này trong team mình đòi hỏi phải hiểu sâu về Kubernetes (k8s). Các phần trong series Scalable Distributed Systems mình viết không nói về Kubernetes, nhưng khá đầy đủ các kiến thức nền tảng về scaling distributed systems, giúp các bạn dễ tiếp cận hơn với lý do đằng sau các design của k8s, từ đó các bạn có thể hiểu rất sâu về nó, ví dụ: - 1 k8s deployment có thể quản lý rất nhiều replicas, hay chính là 1 trong 2 nguyên tắc scaling cơ bản nhất - 1 k8s service đóng vai trò là 1 Load balancer đơn giản, giúp cho việc chia traffic tới các replicas rất tiện lợi Trong team hiện tại, mình làm việc với MySQL, Redis và etcd là chủ yếu. Hiếm khi nào mình cần phải nghĩ tới việc shard data để scale systems, nhưng việc dùng read replicas là rất phổ biến, mặc định khi team data tạo database là tạo luôn 2 read replicas và 1 write replica. Phần cuối này trong series sẽ giúp các bạn hiểu về cách scaling relational databases bằng read replicas và partitioning data, cũng như scaling non-relational databases. Trong việc coding hàng ngày, mình sử dụng distributed transactions thường xuyên, cho cả relational và non-relational databases, nhưng không cần implement nó, vì các databases đã cung cấp sẵn functions rồi. Trong phần cuối này, mình cũng sẽ nói về distributed transactions, 2 loại consistency quan trọng nhất trong database là eventual consistency, strong consistency, cách tune consistency để cân bằng các trade-offs, và cách xử lý conflicts của các concurrent writes. Ngoài ra, trong quá trình code, concurrency programming skills được dùng rất nhiều. Deadlock giờ các lib hỗ trợ việc phát hiện hết rồi nên là không cần nghĩ nhiều lắm, nhưng trong các test cases ở các projects mình làm vẫn phải có deadlock tests, do đó cần phải hiểu nó và hiểu hệ thống thì mới design được các test cases đó. Series này mình không nói về concurrency nhiều, vì các bạn có thể dễ dàng tìm thấy trên internet. Tuy nhiên, trong bài cuối cùng của series, mình có chia sẻ các câu hỏi interview trong thực tế mà mình gặp, liên quan tới concurrency và databases để các bạn luyện tập các kiến thức học được từ series. Cuối cùng, cảm ơn cả nhà đã ủng hộ series Scalable Distributed Systems. Hy vọng các kiến thức trong series có thể hỗ trợ được một chút cho công việc của các bạn, và có thể là cho cuộc thi MLOps Marathon sắp tới của team MLOpsVN. MLOps Marathon một cuộc thi đòi hỏi cả kĩ năng phát triển ML models và các kĩ năng trong distributed systems, thích hợp với các bạn dù mới hay đã có kinh nghiệm vài năm trong cái ngành AI/ML này. * Link phần cuối: https://aiengineer.net/ml-skills/scalable-distributed-systems/scalable-databases * Ảnh minh họa: Hủ tiếu khô ở Cao Lãnh, Đồng Tháp",,
"Tutorial xây dựng voice bot với 3 services chính là speech-to-text, text-to-response (sử dụng OpenAI API) và text-to-speech cho ae nào muốn ghi LLM project vào CV 🤣.
Công nghệ sử dụng: BentoML, LangChain, FastAPI và GradioUI 
https://towardsdatascience.com/deploy-a-voice-based-chatbot-with-bentoml-langchain-and-gradio-7f25af3e45df
LLM hay thật, nhưng Search cũng hay không kém, mọi người nhanh tay đăng ký seminar Search và cách sử dụng ElasticSearch vào ngày mai tại đây nha 🥹 https://bom.so/vysc5a
#llm #llmops #bentoml #search","Tutorial xây dựng voice bot với 3 services chính là speech-to-text, text-to-response (sử dụng OpenAI API) và text-to-speech cho ae nào muốn ghi LLM project vào CV . Công nghệ sử dụng: BentoML, LangChain, FastAPI và GradioUI https://towardsdatascience.com/deploy-a-voice-based-chatbot-with-bentoml-langchain-and-gradio-7f25af3e45df LLM hay thật, nhưng Search cũng hay không kém, mọi người nhanh tay đăng ký seminar Search và cách sử dụng ElasticSearch vào ngày mai tại đây nha https://bom.so/vysc5a",#llm	#llmops	#bentoml	#search,
"Tiếp nối seminar ""Behind a Spotify's Search"" của anh Cuong Dao, tối thứ 5 tuần này chúng ta sẽ tìm hiểu sâu thêm về công nghệ search và Elastic Search cùng với speaker Đinh Văn Quý đến từ Chope Singapore.
Mọi người nhanh tay đăng ký và gửi các câu hỏi về cho diễn giả thôi nào :D. Vẫn như lần trước sẽ có record, nhưng mà thỉnh thoảng có sự cố nên không record được hoặc chỉ record được một phần, nên mọi người cố gắng join nhé ạ.
Chúc cả nhà buổi tối tốt lành!
#seminar #webinar #search #elasticsearch","Tiếp nối seminar ""Behind a Spotify's Search"" của anh Cuong Dao, tối thứ 5 tuần này chúng ta sẽ tìm hiểu sâu thêm về công nghệ search và Elastic Search cùng với speaker Đinh Văn Quý đến từ Chope Singapore. Mọi người nhanh tay đăng ký và gửi các câu hỏi về cho diễn giả thôi nào :D. Vẫn như lần trước sẽ có record, nhưng mà thỉnh thoảng có sự cố nên không record được hoặc chỉ record được một phần, nên mọi người cố gắng join nhé ạ. Chúc cả nhà buổi tối tốt lành!",#seminar	#webinar	#search	#elasticsearch,
"Tranh thủ ngày lễ cập nhật công nghệ thôi cả nhà
https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/
#chatgpt #llm #llmops",Tranh thủ ngày lễ cập nhật công nghệ thôi cả nhà https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,#chatgpt	#llm	#llmops,
"Sử dụng Gitlab làm backend cho MLFlow client 
Tin vui cho ae nào đang dùng Gitlab là đã có thể lưu thông tin các experiment vào Gitlab thông qua MLFlow client, cách này cũng làm ae bớt suy nghĩ làm sao để thực hiện authentication cho MLFlow luôn http://docs.gitlab.com/ee/user/project/ml/experiment_tracking/
tuy nhiên, hiện tại đang có một hạn chế là chưa hỗ trợ tính năng model registry của MLFlow như đề cập ở đây
https://docs.gitlab.com/ee/user/project/integrations/mlflow_client.html
#mlflow #gitlab #integrations","Sử dụng Gitlab làm backend cho MLFlow client Tin vui cho ae nào đang dùng Gitlab là đã có thể lưu thông tin các experiment vào Gitlab thông qua MLFlow client, cách này cũng làm ae bớt suy nghĩ làm sao để thực hiện authentication cho MLFlow luôn http://docs.gitlab.com/ee/user/project/ml/experiment_tracking/ tuy nhiên, hiện tại đang có một hạn chế là chưa hỗ trợ tính năng model registry của MLFlow như đề cập ở đây https://docs.gitlab.com/ee/user/project/integrations/mlflow_client.html",#mlflow	#gitlab	#integrations,
"Giảm thiểu thời gian xử lý từ 65s xuống 0.04s cho phép chia 2 cột trong 1 pandas.DataFrame 10 triệu dòng (element-wise)
#quicktips #optimization #tips",Giảm thiểu thời gian xử lý từ 65s xuống 0.04s cho phép chia 2 cột trong 1 pandas.DataFrame 10 triệu dòng (element-wise),#quicktips	#optimization	#tips,
"🎉🎉🎉SỰ KIỆN RA MẮT CUỘC THI MLOps MARATHON SẼ ĐƯỢC TỔ CHỨC TẠI FPT SOFTWARE HOÀ LẠC🎉🎉🎉

💌 Ngày hội cộng nghệ sôi động đầu năm MLOps MARATHON 2023 đã chính thức chọn Trụ sở FPT Software, tại Khu công nghệ cao Hoà Lạc làm nơi diễn ra sự kiện ra mắt offline và sẽ được phát trực tiếp đến mọi miền tổ quốc!

🤖 MLOps MARATHON 2023 là một sự kiện công nghệ đột phá lần đầu tiên có mặt tại Việt Nam của cộng đồng Machine Learning với chủ đề chính là MLOps - một phương pháp mới trong việc triển khai và quản lý các hệ thống Machine Learning, với tổng giá trị giải thưởng đẫ lên đến TRĂM TRIỆU ĐỒNG!

💡 Sự kiện này sẽ mang đến cho bạn những trải nghiệm thú vị về MLOps, bao gồm các buổi diễn thuyết, workshop và các hoạt động giải trí khác với sự có mặt của các chuyên gia đầu ngành. Đây là cơ hội để bạn học hỏi và chia sẻ kinh nghiệm với những chuyên gia hàng đầu trong lĩnh vực này, cũng như tạo ra các mối quan hệ mới với những người có cùng đam mê.

💡 Các bạn tham gia còn được gặp mặt các nhà tuyển dụng đến từ các công ty hàng đầu trong lĩnh vực ML/ AI

📆 Thời gian: Từ 9h30 đến 12h, ngày 12/05/2023
📍 Địa điểm: F-Ville 2, FPT Software, Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, Hà Nội

🎁 Đặc biệt, các bạn sẽ nhận được những phần quà thú vị khi đăng ký tham gia sớm nhất

👉 Đừng bỏ lỡ cơ hội tuyệt vời này để tìm hiểu về MLOps và kết nối với cộng đồng công nghệ đầy nhiệt huyết. Đăng ký tham gia ngay tại đường link sau https://docs.google.com/.../1FAIpQLSetvRJjGAWUw9.../viewform
___________________________________________________
Thông tin chi tiết tại: https://mlops.vn/marathon
Cập nhật sự kiện tại:
MLOps VN Fanpage | https://www.facebook.com/MLOpsVN/ MLOps VN Group | https://www.facebook.com/groups/mlopsvn
MLOps VN Linkedin | https://www.linkedin.com/company/mlopsvn/
MLOps VN Discord | https://discord.gg/JNbQpba9Ae
MLOps VN Youtube | https://www.youtube.com/@mlopsvn","SỰ KIỆN RA MẮT CUỘC THI MLOps MARATHON SẼ ĐƯỢC TỔ CHỨC TẠI FPT SOFTWARE HOÀ LẠC Ngày hội cộng nghệ sôi động đầu năm MLOps MARATHON 2023 đã chính thức chọn Trụ sở FPT Software, tại Khu công nghệ cao Hoà Lạc làm nơi diễn ra sự kiện ra mắt offline và sẽ được phát trực tiếp đến mọi miền tổ quốc! MLOps MARATHON 2023 là một sự kiện công nghệ đột phá lần đầu tiên có mặt tại Việt Nam của cộng đồng Machine Learning với chủ đề chính là MLOps - một phương pháp mới trong việc triển khai và quản lý các hệ thống Machine Learning, với tổng giá trị giải thưởng đẫ lên đến TRĂM TRIỆU ĐỒNG! Sự kiện này sẽ mang đến cho bạn những trải nghiệm thú vị về MLOps, bao gồm các buổi diễn thuyết, workshop và các hoạt động giải trí khác với sự có mặt của các chuyên gia đầu ngành. Đây là cơ hội để bạn học hỏi và chia sẻ kinh nghiệm với những chuyên gia hàng đầu trong lĩnh vực này, cũng như tạo ra các mối quan hệ mới với những người có cùng đam mê. Các bạn tham gia còn được gặp mặt các nhà tuyển dụng đến từ các công ty hàng đầu trong lĩnh vực ML/ AI Thời gian: Từ 9h30 đến 12h, ngày 12/05/2023 Địa điểm: F-Ville 2, FPT Software, Khu Công nghệ cao Hòa Lạc, Km29 Đại lộ Thăng Long, Hà Nội Đặc biệt, các bạn sẽ nhận được những phần quà thú vị khi đăng ký tham gia sớm nhất Đừng bỏ lỡ cơ hội tuyệt vời này để tìm hiểu về MLOps và kết nối với cộng đồng công nghệ đầy nhiệt huyết. Đăng ký tham gia ngay tại đường link sau https://docs.google.com/.../1FAIpQLSetvRJjGAWUw9.../viewform ___________________________________________________ Thông tin chi tiết tại: https://mlops.vn/marathon Cập nhật sự kiện tại: MLOps VN Fanpage | https://www.facebook.com/MLOpsVN/ MLOps VN Group | https://www.facebook.com/groups/mlopsvn MLOps VN Linkedin | https://www.linkedin.com/company/mlopsvn/ MLOps VN Discord | https://discord.gg/JNbQpba9Ae MLOps VN Youtube | https://www.youtube.com/@mlopsvn",,
"4 patterns for deploying models at the edge
Chắc mọi người hay dùng cái pattern 1 nhỉ? 🤔
#edge #designpatterns
https://www.youtube.com/watch?app=desktop&v=6PHHLjiSkdg",4 patterns for deploying models at the edge Chắc mọi người hay dùng cái pattern 1 nhỉ? https://www.youtube.com/watch?app=desktop&v=6PHHLjiSkdg,#edge	#designpatterns,
"Xin cảm ơn bác Giang Hoang rất rất nhiều vì đã bỏ công sức chuẩn bị slide và chia sẻ siêu nhiệt tình về model optimization. Em xin gửi lại record cho mọi người không có điều kiện tham gia hoặc muốn xem lại.
Mọi người đừng quên thả tim hoặc comment để cảm ơn speaker nha 😊
#seminar #webinar #ModelOptimization",Xin cảm ơn bác Giang Hoang rất rất nhiều vì đã bỏ công sức chuẩn bị slide và chia sẻ siêu nhiệt tình về model optimization. Em xin gửi lại record cho mọi người không có điều kiện tham gia hoặc muốn xem lại. Mọi người đừng quên thả tim hoặc comment để cảm ơn speaker nha,#seminar	#webinar	#ModelOptimization,
,nan,,
"Join seminar Model Optimization thôi nào cả nhà 🏘
#seminar #webinar #modeloptimization",Join seminar Model Optimization thôi nào cả nhà,#seminar	#webinar	#modeloptimization,
"Seminar tiếp theo về Model Optimization, một chủ đề hay ho và là một phần rất quan trọng trong quá trình triển khai một hệ thống ML lên production. Mọi người nhanh tay đăng ký thôi nào 😁. Cả nhà cố gắng tham gia để speaker vui và BTC có thêm động lực mời các speaker khác nha ạ.
#seminar #webinar","Seminar tiếp theo về Model Optimization, một chủ đề hay ho và là một phần rất quan trọng trong quá trình triển khai một hệ thống ML lên production. Mọi người nhanh tay đăng ký thôi nào . Cả nhà cố gắng tham gia để speaker vui và BTC có thêm động lực mời các speaker khác nha ạ.",#seminar	#webinar,
"MLFlow bị dính lỗ hổng bảo mật nguy hiểm, ace đang dùng cập nhật lên bản mới nhất để vá nhé 🫣","MLFlow bị dính lỗ hổng bảo mật nguy hiểm, ace đang dùng cập nhật lên bản mới nhất để vá nhé",,
